Name	Title	Description	Objectives	Reward_xp	Reward_trust	Reward_money	Reward_items	Requirements_lvl	Requirements_trust	Requirements_quests	Questgiver	Type:Step,
CollectApplesQuest	Apples for Chuhayster	I want to taste those sweet fruits, that you, humans, grow. I think they are called apples. Can you please find some and bring them to me?	Bring 5 apples to Chuhayster	10	5	0	Strong Wood Medalion	0	0		Chuhayster	Gathering:CollectApplesStep:Apple:5
CollectLingonberriesQuest	Berries for Chuhayster	I crave some berries. Can you help me?	Bring 10 lingonberries to Chuhayster	15	5	0	Magic Wood Medalion	0	5		Chuhayster	Gathering:CollectLingonberriesStep:Lingonberries:10
KillMavkasQuest	Wicked mavkas	Those mavkas drive me crazy. Not only do they always try to cause mischief to me, but they also lure men to the forest just for fun. Can you get rid of some of them nearby?	Kill 3 mavkas	100	0	0	some armour	3	0		Chuhayster	Killing:KillMavkasStep:Mavka:3
CollectSopilkaQuest	Missing sopilka	I lost my sopilka somewhere in the forest and can't play my melodies anymore. Only you can help me!	Bring Chuhayster's sopilka to him	50	10	0	Agile Wood Medalion	0	10		Chuhayster	Gathering:CollectSopilkaStep:Chuhayster's Sopilka:1
KillNichnytsyasQuest	Night noises	Loud noises and screams disturb my rest every night. I'm pretty sure nichnytsyas make these sounds. Can you deal with them for me?	Kill 3 nichnytsyas	200	0	0	some armour	10	5		Chuhayster	Killing:KillNichnytsyasStep:Nichnytsya:3
CollectMintQuest	Herbal tea for Domovyk	I want to make some mint tea, but unfortunately, I have no leaves left. Can you please find some and bring them to me?	Bring 5 bundles of mint leaves to Domovyk	10	5	0	Mint Tea	0	0		Domovyk	Gathering:CollectMintStep:Mint Leaves:5
CollectFlowersQuest	Flowers for Domovyk	I want to decorate our home with flowers to make it more cozy. Please gather some in the forest.	Bring 5 wild flowers to Domovyk	10	5	0	Wreath	0	5		Domovyk	Gathering:CollectFlowersStep:Flower:5
KillZlydensQuest	Annoying zlydens	I am afraid some zlydens can settle down in our house, as you often cross paths with them in the forest. Can you please prevent it?	Kill 10 zlydens	60	0	0	some armour	2	0		Domovyk	Killing:KillZlydensStep:Zlyden:10
CollectBlueberriesQuest	Blueberries for Domovyk	I want to make blueberry pie for us, but I'm out of blueberries. Go to the forest and gather some, please!	Bring 10 blueberries to Domovyk	15	5	0	Blueberry Pie	0	0		Domovyk	Gathering:CollectBlueberriesStep:Blueberries:10
CollectHareMeatQuest	Starving villagers	We don`t have much food this year, and I believe it is an act of evil power. Can you hunt some hares for me? I am afraid to step deep into the forest because of wolves.	Bring 5 pieces of hare meat	25	0	10		0	0		Human	Gathering:CollectHareMeatStep:Hare Meat:5
KillPoterchasQuest	Strange lights	Some villagers saw strange moving lights in the forest not far from the houses, and now everyone is afraid to go outside in the evening. Can you solve our problem?	Kill 5 poterchas	40	-1	15	some weapon	2	0		Human	Killing:KillPoterchasStep:Potercha:5
KillWolvesQuest	Protecting villagers from wolves	Too many wolves have been in the forest as of late, and they are hurting our ships. Can you reduce their number?	Kill 4 wolves	50	-1	25		2	0		Human	Killing:KillWolvesStep:Wolf:4
KillBearsQuest	Wild beasts	Some of the villagers saw bears close to the place where they were herding sheep. The situation is becoming dangerous, so can you help us, as we are less brave than you?	Kill 2 bears	200	-1	50		10	0		Human	Killing:KillBearsStep:Bear:2
KillChortsQuest	Cunning evil	So many bad things are happening in our village that it must be chorts. But we are no match for them, you know this. Can you kill them, of course, for some good reward?	Kill 5 chorts	300	0	100	some weapon	20	0		Human	Killing:KillChortsStep:Chort:5
